variant,family,scenario,prompt_id,tolerance_mode,percentile,tolerance_scale,signature_scalars_per_checkpoint,signature_bytes_per_checkpoint_fp32,reveal_payload_bytes_per_trace,reference_capture_file_bytes,candidate_capture_file_bytes,metadata_bytes,commitment_head_bytes,commitment_chain_bytes,reference_storage_head_bytes,candidate_working_set_head_bytes,challenge_working_set_head_bytes,challenge_working_set_full_chain_bytes,reference_capture_load_ms,candidate_capture_load_ms,commitment_generation_ms,replay_ms,compare_ms,challenge_latency_no_commit_ms,challenge_latency_ms,detected,first_mismatch_stage,first_mismatch_checkpoint,verdict_bytes
projcos16,projcos,honest_homo,eval_012,checkpoint_specific,99.0,1.5,256,1024,3072,102368,102368,2132,32,96,103434,103434,207087,207151,1.499083,1.573042,0.333167,0.305875,0.050917,3.428917,3.762084,0,,,187
projcos16,projcos,honest_homo,eval_013,checkpoint_specific,99.0,1.5,256,1024,3072,86927,86927,2132,32,96,87993,87993,176205,176269,1.533708,1.698375,0.352708,0.301292,0.0485,3.581875,3.934583,0,,,187
projcos16,projcos,honest_homo,eval_014,checkpoint_specific,99.0,1.5,256,1024,3072,87044,87044,2132,32,96,88110,88110,176439,176503,1.538417,1.462458,0.315708,0.299667,0.04225,3.342792,3.6585,0,,,187
projcos16,projcos,honest_homo,eval_015,checkpoint_specific,99.0,1.5,256,1024,3072,87024,87024,2132,32,96,88090,88090,176399,176463,1.500875,1.558333,0.347042,0.320375,0.046166,3.425749,3.772791,0,,,187
projcos16,projcos,honest_homo,eval_016,checkpoint_specific,99.0,1.5,256,1024,3072,87017,87017,2132,32,96,88083,88083,176385,176449,1.539791,1.523542,0.319083,0.298708,0.043,3.405041,3.724124,0,,,187
projcos16,projcos,honest_homo,eval_017,checkpoint_specific,99.0,1.5,256,1024,3072,117702,117702,2132,32,96,118768,118768,237755,237819,1.586959,1.562875,0.337167,0.304125,0.044375,3.498334,3.835501,0,,,187
projcos16,projcos,honest_homo,eval_018,checkpoint_specific,99.0,1.5,256,1024,3072,117777,117777,2132,32,96,118843,118843,237905,237969,1.687375,1.632667,0.353667,0.302458,0.043917,3.666417,4.020084,0,,,187
projcos16,projcos,honest_homo,eval_019,checkpoint_specific,99.0,1.5,256,1024,3072,117794,117794,2132,32,96,118860,118860,237939,238003,1.777292,1.62975,0.366292,0.348167,0.051,3.806209,4.172501,0,,,187
projcos16,projcos,honest_homo,eval_020,checkpoint_specific,99.0,1.5,256,1024,3072,87013,87013,2132,32,96,88079,88079,176377,176441,1.603667,1.482042,0.313875,0.29625,0.042083,3.424042,3.737917,0,,,187
projcos16,projcos,honest_homo,eval_021,checkpoint_specific,99.0,1.5,256,1024,3072,102278,102278,2132,32,96,103344,103344,206907,206971,1.535916,1.544625,0.328667,0.301916,0.0415,3.423957,3.752624,0,,,187
projcos16,projcos,honest_homo,eval_022,checkpoint_specific,99.0,1.5,256,1024,3072,109959,109959,2132,32,96,111025,111025,222269,222333,1.794833,1.600542,0.342209,0.306708,0.042709,3.744792,4.087001,0,,,187
projcos16,projcos,honest_homo,eval_023,checkpoint_specific,99.0,1.5,256,1024,3072,94688,94688,2132,32,96,95754,95754,191727,191791,1.509416,1.492042,0.322959,0.304833,0.039083,3.345374,3.668333,0,,,187
projcos16,projcos,honest_homo,eval_024,checkpoint_specific,99.0,1.5,256,1024,3072,94655,94655,2132,32,96,95721,95721,191661,191725,1.644625,1.625583,0.337,0.301625,0.045958,3.617791,3.954791,0,,,187
projcos16,projcos,honest_homo,eval_025,checkpoint_specific,99.0,1.5,256,1024,3072,94608,94608,2132,32,96,95674,95674,191567,191631,1.612667,1.467375,0.336333,0.311917,0.041625,3.433584,3.769917,0,,,187
projcos16,projcos,honest_homo,eval_026,checkpoint_specific,99.0,1.5,256,1024,3072,94641,94641,2132,32,96,95707,95707,191633,191697,1.553459,1.569833,0.328583,0.293625,0.041792,3.458709,3.787292,0,,,187
