prompt_id,checkpoint,n,q,rho,attack,support_size,selection_combined,statistic,test_rate,relative_l2,cosine_after_attack
eval_001,prefill__C1,16384,512,0.05,fixed_sparse16,16,0.380859375,directional,0.40625,0.05,0.9987331199616122
eval_001,prefill__C1,16384,512,0.05,fixed_sparse16,16,0.380859375,combined,0.43359375,0.05,0.9987331199616122
eval_001,prefill__C1,16384,512,0.05,adaptive_joint,16,0.357421875,spike,0.337890625,0.049999999845107244,0.9987336383513571
eval_001,prefill__C1,16384,512,0.05,adaptive_joint,16,0.357421875,energy,0.3388671875,0.049999999845107244,0.9987336383513571
eval_001,prefill__C1,16384,512,0.05,adaptive_joint,16,0.357421875,directional,0.31591796875,0.049999999845107244,0.9987336383513571
eval_001,prefill__C1,16384,512,0.05,adaptive_joint,16,0.357421875,combined,0.34521484375,0.049999999845107244,0.9987336383513571
eval_001,prefill__C2,16384,64,0.0,honest,0,,spike,0.00830078125,0.0,0.9999924775332905
eval_001,prefill__C2,16384,64,0.0,honest,0,,energy,0.0078125,0.0,0.9999924775332905
eval_001,prefill__C2,16384,64,0.0,honest,0,,directional,0.0078125,0.0,0.9999924775332905
eval_001,prefill__C2,16384,64,0.0,honest,0,,combined,0.0107421875,0.0,0.9999924775332905
eval_001,prefill__C2,16384,64,0.01,fixed_diffuse,16384,1.0,spike,0.0068359375,0.010000000000000004,0.9999420233034686
eval_001,prefill__C2,16384,64,0.01,fixed_diffuse,16384,1.0,energy,1.0,0.010000000000000004,0.9999420233034686
eval_001,prefill__C2,16384,64,0.01,fixed_diffuse,16384,1.0,directional,0.18359375,0.010000000000000004,0.9999420233034686
eval_001,prefill__C2,16384,64,0.01,fixed_diffuse,16384,1.0,combined,1.0,0.010000000000000004,0.9999420233034686
eval_001,prefill__C2,16384,64,0.01,fixed_directional,16378,1.0,spike,0.00439453125,0.010000000000000002,0.9999424553690464
eval_001,prefill__C2,16384,64,0.01,fixed_directional,16378,1.0,energy,1.0,0.010000000000000002,0.9999424553690464
eval_001,prefill__C2,16384,64,0.01,fixed_directional,16378,1.0,directional,0.99560546875,0.010000000000000002,0.9999424553690464
